#,Title,Topic title,WI,Topic areas,AI,Moderator,Company,Summary AI,Notes,Moderator Summary,Samsung Major Responsibility,Work Level
346,NR_IoT_NTN_Ph2,[119][346] NR_IoT_NTN_Ph2,NR_IoT_NTN_req_Ph2-Core,"Rel-20 NTN: General aspects, IoT NTN PC1.5","7.6.2, 7.6.3",Tank Taaank,CHTTL,7.6.1,,R4-2607233,Bozhi,
347,NR_IoT_NTN_Ph2_Part2,[119][347] NR_IoT_NTN_Ph2_Part2,NR_IoT_NTN_req_Ph2-Core,Rel-20 NTN: HD-FDD ,"7.6.4.1, 7.6.4.2",Jeffery Chi,MediaTek,7.6.1,,R4-2607234,Bozhi,
348,Study_NR_NTN_GNSS_resilient,[119][348] Study_NR_NTN_GNSS_resilient,FS_NR_NTN_GNSS_resilient,Study on GNSS resilient NR-NTN operation,"7.14.2, 7.14.3","Dorin Panaitopol
",Thales,7.14.1,,R4-2607235,Xinyan / Yanze,
349,LTE_TN_NR_NTN_handover,[119][349] LTE_TN_NR_NTN_handover,LTE_TN_NR_NTN_HO-Core,E-UTRA TN to NR NTN handover enhancements,"7.15.2, 7.15.3, 7.15.4",Lingyu Gao,CATT,7.15.1,,R4-2607236,Xinyan / Yanze,
350,LTE_IoT_NTN_high_power,[119][350] LTE_IoT_NTN_high_power,IoT_NTN_Ph4-Core,Higher than PC1 for IoT NTN UE,"7.16.2, 7.16.3, 7.16.4",Runsen Tang,vivo,7.16.1,,R4-2607237,Bozhi,
,,,,,,,,,,,,
Rel-20 Other verticals,,,,,,,,,,,,
351,NR_UAV,[119][351] NR_UAV,NR_UAV_req-Core,"Rel-20 UAV: General aspects, coexistence, UE RF requirements","7.7.2, 7.7.3, 7.7.4",Bin Han,Qualcomm,7.7.1,"
RRM part 7.7.5 is handled in RRM session.",R4-2607238,N/A,
352,A-IoT_sys_outdoor,[119][352] A-IoT_sys_outdoor,Ambient_IoT_Solutions_Ph2-Core,"System parameters, D4T1","7.17.2, 7.17.4, 7.17.5.1, 7.17.5.2, 7.17.5.3",Ling Lin,Huawei,7.17.1,RRM part 7.17.3 is handled in RRM session,R4-2607239,N/A,
353,A-IoT_indoor_test,[119][353] A-IoT_indoor_test,Ambient_IoT_Solutions_Ph2-Core,"D2T2 requirements, testing active devices","7.17.6.1, 7.17.6.2, 7.17.6.3, 7.17.6.4, 7.17.7",Huiping Shan,Xiaomi,7.17.1,RRM part 7.17.3 is handled in RRM session,R4-2607240,N/A,
,,,,,,,,,,,,
6G SI,,,,,,,,,,,,
360,6G_BSRF_requirements,[119][360] 6G_BSRF_requirements,FS_6G_Radio,"6G BSRF: BS RF requirements, SAN RF requirements","8.4.1.1, 8.4.1.2, 8.4.1.3, 8.4.2.1, 8.4.2.2",Dominique Everaere,Ericsson,8.1.1,,R4-2607241,Xin / Jackson,
361,6G_BSRF_coexistence_AAS,[119][361] 6G_BSRF_coexistence_AAS,FS_6G_Radio,"6G BSRF: Coexistence
AAS modeling below 1 GHz","8.4.3.1, 8.4.3.2, 8.4.3.3, 8.4.4, 8.4.5",Michal Szydelko,Huawei,8.1.1,,R4-2607242,Xin / Jackson,
362,6G_Sensing_coex_test_req,[119][362] 6G_Sensing_coex_test_req,FS_6G_Radio,"6G Sensing: coexistence, testing, and impacted requirements","8.10.4, 8.10.5, 8.10.6","Fei Xue
",ZTE,8.1.1,,R4-2607243,Xin / Dong,
363,6G_Sensing_feasiblity_general,[119][363] 6G_Sensing_feasiblity_general,FS_6G_Radio,6G Sensing: Feasibility and general,"8.10.1, 8.10.2, 8.10.3",Mustafa Emara,Qualcomm,8.1.1,,R4-2607244,Xin / Dong,
,,,,,,,,,,,,
LS and RAN task,,,,,,,,,,,,
370,LS_BDaT,[119][370] LS_BDaT,BDaT LS,LS response for BDaT,"11.2, 11.3, 11.4 (BDaT related)",Aijun Cao,CATT,11.1,Summary is not needed,#N/A,N/A,
